Boavista FC	S11	PT	8	62.5%	1.58	1831	180	32:38	18.4	11.6	7.0	5.0	62.5	37.5	2.63	58.1	0.63	31.3	1.38	0.5	365	1.13	81.3	31.1	1932	3.4	1.12	1.28
BOOM Esports	S11	PCS	3	66.7%	0.98	1743	-10	34:42	14.0	14.3	7.0	5.3	33.3	100.0	2.33	56.0	1.33	66.7	0.67	1.0	384	1.00	55.6	31.6	1974	2.9	1.17	1.34
BRO Challengers	S11	KR	10	50.0%	1.26	1782	-2	30:49	17.0	13.5	6.2	6.0	70.0	50.0	2.80	58.7	0.70	35.0	0.80	-0.1	-1063	0.80	63.3	29.8	2129	3.4	1.21	1.40
BRUTE	S11	CZ	11	18.2%	0.72	1694	-177	32:12	13.4	18.4	4.5	8.1	45.5	36.4	2.00	38.8	0.55	27.3	0.73	-0.1	-653	0.55	38.6	30.1	1904	2.9	1.20	0.96
BT Excel	S11	EUW	10	90.0%	2.12	1985	380	29:19	17.8	8.4	9.1	1.9	90.0	100.0	2.80	73.7	1.60	85.0	1.10	1.8	3704	0.90	80.0	33.9	2091	2.8	1.22	1.21
Burning Core	S11	JP	8	25.0%	0.74	1648	-195	31:13	8.3	13.0	3.6	8.0	37.5	12.5	1.88	37.2	0.50	28.6	1.00	-1.9	-1667	0.25	33.3	32.8	1561	3.3	1.15	1.52
Burst The Sky Esports	S11	VN	15	40.0%	1.03	1789	-43	31:47	15.4	14.9	4.9	6.6	66.7	40.0	2.13	48.3	0.80	43.3	1.00	-0.5	-446	0.47	33.3	32.9	2168	3.5	1.35	1.70
Cerberus Esports	S11	VN	14	64.3%	1.15	1823	44	32:37	16.7	14.5	6.4	5.0	64.3	64.3	2.43	53.5	0.93	46.4	1.14	0.1	1020	0.86	52.4	32.2	2175	3.4	1.58	1.50
CLG	S11	NA	13	15.4%	0.64	1684	-224	35:43	11.4	17.8	4.7	8.4	69.2	46.2	2.00	35.3	0.77	42.3	0.69	0.0	-720	0.62	28.2	32.2	1727	3.1	1.17	1.27
CLG Academy	S11	NA	9	33.3%	0.87	1728	-92	34:55	11.4	13.2	4.6	8.0	55.6	55.6	2.44	49.3	1.33	72.2	1.11	0.0	198	0.56	38.9	33.1	1776	3.1	1.12	1.33
Cloud9	S11	NA	26	65.4%	1.38	1865	140	31:13	15.6	11.2	6.9	4.9	53.8	46.2	2.35	53.4	0.88	44.2	0.92	0.0	449	0.85	56.4	33.3	1902	3.2	1.25	1.45
Cloud9 Academy	S11	NA	9	77.8%	1.54	1880	197	30:48	13.9	9.0	7.4	4.3	44.4	33.3	2.33	50.9	0.44	22.2	0.56	-0.3	-30	0.89	72.2	34.4	1748	3.1	1.03	1.38
CowBoySquad Imperials Esports	S11	GR	12	16.7%	0.71	1670	-230	31:32	15.0	21.1	4.0	8.6	41.7	8.3	1.75	33.9	0.33	16.7	0.50	-1.5	-2654	0.67	40.9	27.9	2072	2.8	0.95	0.90
CR4ZY	S11	RS	8	75.0%	1.17	1856	164	29:42	15.6	13.4	7.6	3.1	25.0	75.0	2.38	51.0	1.50	75.0	1.13	1.0	396	1.13	81.0	31.6	1894	2.6	1.01	1.28
Cream Real Betis	S11	ES	12	66.7%	1.36	1779	69	34:47	13.6	9.9	6.8	5.6	33.3	50.0	2.83	50.6	0.50	25.0	0.33	-0.6	-451	1.00	58.3	33.0	1851	3.4	1.22	1.41
Crest Gaming Act	S11	JP	8	37.5%	0.75	1718	-82	33:31	13.3	17.6	5.1	6.9	62.5	37.5	2.63	50.1	0.63	31.3	1.00	0.8	-404	0.50	37.5	31.8	1928	3.7	1.25	1.60
CrowCrowd	S11	CIS	4	75.0%	1.44	1838	167	34:47	16.3	11.3	8.0	3.8	25.0	75.0	2.75	56.3	1.75	87.5	0.75	1.0	1230	0.75	62.5	32.2	1776	3.3	1.22	1.60
Cruzeiro Academy	S11	BR	10	20.0%	0.70	1645	-153	32:40	10.9	15.5	4.0	7.4	40.0	30.0	1.60	34.5	0.30	15.0	0.50	-0.6	-1408	0.30	27.8	30.4	1713	3.3	1.51	1.30
Cruzeiro eSports	S11	BR	12	25.0%	0.62	1644	-234	30:41	9.8	15.6	3.4	8.3	41.7	25.0	2.00	43.8	0.67	33.3	0.75	-0.7	-697	0.42	25.0	31.3	1495	2.9	1.15	1.08
Crvena zvezda Esports	S11	RS	8	0.0%	0.31	1530	-421	29:41	5.9	18.9	1.4	9.0	12.5	12.5	1.13	24.8	0.38	25.0	0.88	-1.3	-2876	0.00	0.0	31.0	1452	3.0	0.99	1.00
CTRL PLAY	S11	CIS	4	0.0%	0.49	1592	-288	30:30	7.8	15.8	2.0	9.3	25.0	25.0	1.50	31.3	0.50	25.0	0.50	-1.0	-1568	0.25	25.0	30.6	1513	3.2	1.34	0.85
Cyberground Gaming	S11	IT	12	58.3%	1.26	1739	19	32:54	14.2	11.3	5.8	6.1	58.3	75.0	2.58	49.5	1.25	68.2	1.27	0.5	568	0.58	48.1	30.0	1847	2.9	1.14	1.29
Dark Passage	S11	TR	10	60.0%	1.32	1804	99	30:51	12.8	9.7	6.5	4.3	50.0	40.0	2.30	49.5	1.00	50.0	1.00	-0.1	450	0.70	66.7	33.0	1686	3.0	1.12	1.15
Dark Tigers	S11	CZ	11	45.5%	0.85	1779	-14	30:15	13.9	16.5	5.5	6.0	54.5	72.7	2.64	56.7	1.18	63.6	1.00	0.2	-30	0.55	50.0	31.2	1943	2.7	0.91	1.01
Dark Tigers academy	S11	CZ	9	88.9%	1.98	1927	355	27:35	17.8	9.0	7.9	2.4	66.7	66.7	3.00	71.1	1.33	72.2	1.11	1.4	2412	0.89	77.8	31.6	1985	2.4	0.91	0.95
Detonation FocusMe	S11	JP	8	87.5%	1.65	1863	241	31:43	17.5	10.3	6.9	3.5	37.5	50.0	2.38	51.0	1.63	81.3	0.50	0.6	1366	0.50	50.0	32.3	2087	3.2	1.26	1.81
devils.one	S11	PL	10	40.0%	0.93	1709	-67	31:14	11.9	12.8	4.2	6.5	60.0	40.0	2.30	52.5	1.00	55.0	1.00	0.1	780	0.30	33.3	31.8	1870	3.0	1.26	1.08
Dignitas	S11	NA	13	53.8%	1.08	1796	5	30:05	13.5	12.4	6.2	5.7	38.5	38.5	2.00	47.2	1.00	53.8	0.69	-0.2	-550	0.92	61.5	31.4	1742	2.9	1.37	1.35
Dignitas Academy	S11	NA	9	55.6%	1.47	1779	89	33:12	12.6	8.6	6.1	5.3	44.4	44.4	2.44	49.6	0.89	50.0	1.11	-0.1	-373	1.00	77.8	32.7	1742	2.9	1.13	1.33
DK Challengers	S11	KR	10	40.0%	0.66	1707	-120	29:36	8.3	12.6	4.2	6.3	30.0	40.0	0.90	19.0	0.90	45.0	0.30	-0.2	-1006	0.30	30.0	34.1	1472	3.6	1.42	1.36
Dragon Army	S11	CIS	4	25.0%	0.55	1637	-194	34:19	9.0	16.5	3.3	8.0	75.0	50.0	2.50	45.8	0.50	25.0	1.25	-1.5	-14	0.25	12.5	31.6	1554	3.2	1.19	1.35
DRX	S11	KR	28	53.6%	0.93	1771	-16	33:32	10.9	11.8	6.5	5.9	42.9	39.3	2.07	38.9	0.68	33.9	0.43	-0.2	-706	0.82	58.9	34.1	1856	3.8	1.34	1.83
DRX Challengers	S11	KR	10	50.0%	1.06	1860	81	33:26	14.5	13.7	5.4	6.0	60.0	30.0	2.30	49.6	1.10	55.0	0.60	-0.2	678	0.80	57.4	34.7	1673	3.4	1.18	1.89
Dusty	S11	EUW	10	30.0%	0.79	1670	-183	34:25	15.0	19.0	3.8	7.8	50.0	20.0	2.10	38.8	0.90	45.0	1.10	-1.3	-1964	0.50	40.0	29.1	1991	3.1	1.04	1.06
DWG KIA	S11	KR	24	75.0%	1.24	1905	193	34:33	14.6	11.8	8.3	4.4	29.2	62.5	3.13	65.1	1.29	66.7	0.79	0.3	1193	1.33	79.9	34.7	2156	3.9	1.55	1.95
Dynamo Esports	S11	CZ	9	44.4%	0.79	1731	-72	30:52	12.2	15.4	4.8	5.7	44.4	44.4	2.11	47.0	0.78	44.4	0.67	-0.1	-411	0.78	44.4	32.2	1682	2.9	1.05	1.12
Dynasty	S11	NL	8	75.0%	1.28	1792	120	34:37	15.6	12.3	8.6	5.3	25.0	75.0	3.13	59.8	0.88	43.8	1.25	0.3	-808	0.88	68.8	30.0	2188	3.1	1.08	1.01
E WIE EINFACH E-SPORTS	S11	DE	13	30.8%	0.69	1624	-228	30:44	10.0	14.5	3.9	7.8	46.2	23.1	1.62	34.7	0.69	38.5	0.92	-0.8	-2022	0.38	25.0	30.1	1663	2.7	1.03	1.22
ECLOT	S11	CZ	11	36.4%	0.73	1667	-166	33:52	13.1	17.9	4.5	7.4	18.2	18.2	2.09	37.6	0.82	40.9	0.73	-0.5	-2387	0.64	36.1	30.4	1935	3.0	1.25	1.28
ECLOT Academy	S11	CZ	9	55.6%	1.10	1753	-5	32:02	13.1	11.9	5.6	5.1	55.6	44.4	2.44	46.7	1.00	50.0	1.11	0.1	-120	0.89	44.4	31.5	1574	2.7	1.02	1.19
Edward Gaming	S11	CN	16	87.5%	1.56	1887	204	33:09	14.9	9.6	7.6	3.6	56.3	68.8	3.19	64.6	0.88	43.8	0.88	0.0	611	0.81	65.6	35.0	1953	3.2	1.25	1.76
EFIVE Esports	S11	PT	8	12.5%	0.48	1556	-356	29:02	7.4	15.5	2.0	8.9	50.0	12.5	1.25	28.8	0.25	12.5	0.88	-1.0	-1917	0.25	18.8	30.4	1249	2.9	1.18	1.06
EGN Esports	S11	PT	8	62.5%	0.94	1785	54	33:07	12.3	13.0	7.4	5.4	75.0	87.5	2.63	52.7	1.50	75.0	1.13	1.0	1375	0.75	47.9	32.2	1776	3.0	1.17	1.08
eMonkeyz	S11	ES	12	33.3%	0.79	1639	-213	30:50	9.3	11.7	3.7	7.6	41.7	16.7	1.58	32.6	0.75	37.5	0.75	-0.9	-1741	0.33	27.3	31.5	1563	2.9	1.27	1.15
eStar	S11	CN	20	35.0%	0.93	1752	-126	30:09	12.6	13.5	4.6	6.7	60.0	25.0	2.00	46.8	0.85	44.7	0.65	-0.4	-837	0.25	27.8	33.0	1772	3.4	1.46	1.55
Estral Esports	S11	LAT	8	50.0%	1.05	1738	34	31:29	10.4	9.9	6.3	5.1	25.0	75.0	2.50	58.3	1.13	56.3	1.00	0.3	561	0.75	62.5	32.6	1719	3.2	1.33	1.50
eSuba	S11	CZ	11	72.7%	1.19	1861	124	31:07	18.0	15.0	8.4	3.9	72.7	72.7	2.82	60.6	1.18	59.1	1.18	0.5	896	1.09	63.6	31.0	2065	3.0	1.13	1.18
EURONICS Gaming	S11	DE	13	23.1%	0.77	1651	-188	31:02	11.2	14.6	3.6	7.8	53.8	23.1	1.62	35.2	0.77	38.5	1.00	-0.7	-1603	0.38	33.3	30.3	1606	2.9	1.40	1.08
Evil Geniuses	S11	NA	18	55.6%	1.13	1787	24	32:53	14.9	13.1	6.4	5.6	55.6	50.0	3.17	68.7	1.00	50.0	1.17	0.0	540	0.61	48.1	32.0	1942	3.3	1.21	1.41
Evil Geniuses Academy	S11	NA	9	22.2%	0.62	1662	-213	31:31	9.9	16.0	4.0	7.7	44.4	55.6	2.00	43.5	1.11	55.6	0.44	-0.1	-880	0.33	27.8	31.9	1739	3.3	1.23	1.23
Excel Esports	S11	EUW	11	45.5%	0.72	1684	-153	34:03	10.7	15.0	5.1	7.5	18.2	-	2.18	42.5	0.73	36.4	0.91	-0.9	-1763	0.64	35.0	31.5	1741	3.2	1.25	1.22
FC Schalke 04	S11	EUW	11	45.5%	0.82	1761	-54	34:43	10.5	12.8	6.6	6.3	54.5	45.5	2.00	36.4	1.00	50.0	0.64	0.4	35	0.64	36.4	33.6	1704	3.6	1.39	1.39
FC Schalke 04 Evolution	S11	DE	13	53.8%	1.11	1855	138	31:05	15.8	13.9	7.0	4.8	53.8	69.2	2.23	51.7	1.46	73.1	1.08	0.8	1625	0.69	50.0	32.7	1976	3.3	1.40	1.28
Flamengo Academy	S11	BR	10	80.0%	1.47	1862	205	33:10	17.3	11.8	8.0	3.5	40.0	90.0	3.10	63.2	1.00	50.0	1.00	0.6	956	0.90	75.0	32.5	1950	3.3	1.49	1.39
Flamengo eSports	S11	BR	12	91.7%	1.90	1895	293	31:53	16.5	8.7	9.4	2.9	50.0	75.0	2.75	62.9	1.17	58.3	0.92	0.7	1874	1.17	87.5	32.7	1993	3.5	1.56	1.48
FlyQuest	S11	NA	15	33.3%	0.78	1699	-151	31:28	11.1	14.3	3.9	7.8	53.3	33.3	1.87	41.1	0.53	26.7	0.87	-0.5	-1037	0.27	30.8	32.5	1782	3.0	1.19	1.30
FlyQuest Academy	S11	NA	9	55.6%	1.23	1774	22	33:48	13.4	10.9	6.1	5.4	44.4	55.6	2.67	56.7	1.22	61.1	1.11	-0.2	301	0.44	38.9	33.5	1851	3.2	1.23	1.38
Fnatic	S11	EUW	11	54.5%	1.10	1868	51	30:25	18.5	16.7	6.5	5.5	45.5	63.6	2.73	62.6	0.73	45.5	1.45	0.3	792	0.82	57.6	32.1	2082	3.2	1.33	1.18
Fnatic Rising	S11	EUW	10	80.0%	1.69	1866	258	30:47	15.7	9.3	9.0	2.6	40.0	90.0	2.90	69.8	1.80	90.0	1.40	1.1	2398	1.10	81.7	32.2	2035	3.2	1.34	1.33
